Specie,Recording,start_segment,End Time (s),f_min,f_max,Start of the next vocalization (s),length_segment,intersyllable_gap
Accipiter_bicolor,XC13535,1.5316,6.193,334.586,6256.757,22.6287,4.6614,16.4357
Accipiter_bicolor,XC114956,2.179,4.3216,1805.263,4964.474,4.939,2.1426,0.6174
Accipiter_bicolor,XC1009075,3.9963,4.045,523.442,11254.006,5.2454,0.0487,1.2004
Accipiter_bicolor,XC1009503,3.9367,5.1566,1454.912,11833.284,17.281,1.2199,12.1244
Accipiter_bicolor,XC1063563,2.4877,6.0602,398.136,16423.125,10.9041,3.5725,4.8439
Accipiter_poliogaster,XC240800,5.1126,6.2669,2820.121,11660.601,14.6039,1.1543,8.337
Accipiter_poliogaster,XC163384,2.7315,4.4173,1854.962,10177.222,16.1755,1.6858,11.7582
Accipiter_poliogaster,XC163664,1.7308,3.4235,1789.565,13230.0,7.1652,1.6927,3.7417
Accipiter_poliogaster,XC109377,0.7719,1.7643,2637.209,7325.581,2.7126,0.9924,0.9483
Accipiter_poliogaster,XC111690,2.3615,3.661,837.342,3977.373,16.0412,1.2995,12.3802
Accipiter_striatus,XC141871,3.6794,4.816,1475.701,4451.698,15.3002,1.1366,10.4842
Accipiter_striatus,XC146994,2.0842,2.2176,3489.231,9256.154,10.1001,0.1334,7.8825
Accipiter_striatus,XC278831,5.1209,5.8175,2023.576,7745.411,11.955,0.6966,6.1375
Accipiter_striatus,XC285551,1.5207,3.0413,1252.05,13702.997,18.2771,1.5206,15.2358
Accipiter_striatus,XC1014685,2.6454,5.4937,2102.548,14817.954,13.5698,2.8483,8.0761
Accipiter_superciliosus,XC264367,2.1059,3.6624,2093.769,5561.573,7.7738,1.5565,4.1114
Accipiter_superciliosus,XC218143,0.4187,3.7943,2281.034,14446.552,5.9476,3.3756,2.1533
Accipiter_superciliosus,XC21092,0.2501,1.0275,1791.562,6546.094,2.2724,0.7774,1.2449
Accipiter_superciliosus,XC113634,0.7264,3.2788,2469.136,3061.728,10.0525,2.5524,6.7737
Accipiter_superciliosus,XC187778,2.2847,10.4484,1812.329,10692.74,45.5846,8.1637,35.1362
Actitis_macularius,XC1001183,3.47,4.5665,2216.561,5885.35,5.3307,1.0965,0.7642
Actitis_macularius,XC1007568,0.6412,0.6748,4095.563,4587.031,1.2543,0.0336,0.5795
Actitis_macularius,XC1007571,0.5468,0.5852,3674.267,4534.202,1.6084,0.0384,1.0232
Actitis_macularius,XC1007577,2.7024,2.7609,3798.561,4618.705,3.1854,0.0585,0.4245
Actitis_macularius,XC1007580,0.7139,0.776,4155.34,4912.621,1.3471,0.0621,0.5711
